Gx,Gy,Gz,Label
42.93,0.43,-114.47,Bawah
37.5,1.1,-116.4,Bawah
39.51,-3.6,-117.37,Bawah
35.18,-6.69,-117.71,Bawah
34.53,-9.77,-119.48,Bawah
43.24,-2.14,-117.68,Bawah
51.36,2.75,-136,Bawah
23.08,-12.55,-122.93,Bawah
25.34,-9.44,-123.94,Bawah
45.68,-6.9,-116.18,Bawah
64.27,-7.36,-107.97,Bawah
44.06,22.23,-114.96,Bawah
35.08,3.45,-119.82,Bawah
41.31,9.34,-116.85,Bawah
21.5,-5.5,-122.6,Bawah
24.67,-5.59,-117.65,Bawah
31.91,-7.69,-132.31,Bawah
28.73,-6.11,-130.96,Bawah
33.59,-12.7,-113.31,Bawah
20.76,-15.24,-113.07,Bawah
22.08,-11.18,-126.53,Bawah
24.85,1.5,-115.85,Bawah
27.6,-15.63,-127.88,Bawah
19.73,-19.82,-122.26,Bawah
20.58,-22.56,-126.63,Bawah
35.66,-3.48,-113.31,Bawah
28.09,-10.17,-119.15,Bawah
4.46,6.05,-128.73,Bawah
29.74,14.08,-121.68,Bawah
17.8,10.44,-118.38,Bawah
23.66,1.34,-117.59,Bawah
32.64,11.11,-116.73,Bawah
29.16,11.08,-122.69,Bawah
20.06,-19.02,-119.82,Bawah
32.52,-10.17,-119.3,Bawah
17.13,-12.76,-121.92,Bawah
24.85,-6.9,-117.13,Bawah
27.08,5.44,-127.63,Bawah
15.11,-9.22,-126.66,Bawah
13.95,-5.13,-119.69,Bawah
126.56,1.4,37.68,Kiri
123.24,1.44,40.46,Kiri
127.88,-0.76,37.71,Kiri
125.28,0.85,39.73,Kiri
123.94,-0.52,39.51,Kiri
126.78,-2.6,36.95,Kiri
125.01,-1.1,34.81,Kiri
123.82,-0.58,38.17,Kiri
128.98,-2.44,34.6,Kiri
126.66,0.21,34.93,Kiri
125.25,-1.53,37.56,Kiri
127.73,0.31,34.02,Kiri
124.49,1.22,37.71,Kiri
125.62,0.31,36.7,Kiri
124.27,0.64,35.73,Kiri
125.62,-0.12,36.61,Kiri
125.31,0.24,36.67,Kiri
125.89,-0.27,35.54,Kiri
126.05,0.46,37.25,Kiri
125.95,0.12,37.16,Kiri
128.06,0.27,36.79,Kiri
123.05,0.58,39.85,Kiri
124.21,-1.68,38.23,Kiri
126.9,-0.52,37.86,Kiri
123.08,-0.15,41.13,Kiri
124.21,0.61,41.07,Kiri
124.76,-0.7,39.57,Kiri
125.71,0.21,38.08,Kiri
124.52,-1.25,39.18,Kiri
125.4,1.56,39.3,Kiri
122.96,0.92,40.95,Kiri
124.98,3.66,39.51,Kiri
124.92,4.58,38.78,Kiri
125.77,3.08,39.51,Kiri
123.27,3.11,41.62,Kiri
122.87,4.06,40.43,Kiri
122.53,6.41,40.52,Kiri
123.45,3.69,39.66,Kiri
126.08,6.2,36.89,Kiri
127.27,2.17,37.71,Kiri
124,5.22,37.28,Kiri
125.44,3.82,37.25,Kiri
124.76,5.07,36.43,Kiri
125.77,3.3,38.08,Kiri
126.26,2.2,37.95,Kiri
128.21,1.28,34.17,Kiri
123.85,5.98,34.56,Kiri
125.59,5.92,35.45,Kiri
130.14,2.32,34.17,Kiri
125.37,5.16,35.66,Kiri
125.13,5.44,32.52,Kiri
126.38,3.15,34.17,Kiri
126.17,4.79,32.76,Kiri
125.95,4.21,33.1,Kiri
126.53,3.54,31.63,Kiri
125.47,5.16,32.37,Kiri
126.17,3.11,32.7,Kiri
125.59,3.21,33.74,Kiri
126.56,2.81,32.4,Kiri
125.74,2.9,31.3,Kiri
124.85,4.03,32.61,Kiri
125.86,4.89,31.91,Kiri
125.47,2.72,33.04,Kiri
127.18,3.08,31.79,Kiri
126.5,2.9,32.89,Kiri
124.79,2.87,33.1,Kiri
126.9,3.42,32.46,Kiri
125.89,2.32,32.24,Kiri
125.92,3.57,32.4,Kiri
128.73,3.94,32,Kiri
124.64,3.02,35.33,Kiri
124.09,2.87,36.18,Kiri
125.19,1.59,37.04,Kiri
123.39,1.83,35.88,Kiri
124.43,-0.98,36.82,Kiri
127.54,2.32,33.71,Kiri
122.47,-0.64,35.39,Kiri
126.9,-2.47,32.58,Kiri
126.84,-1.04,30.81,Kiri
126.75,-1.34,32.18,Kiri
126.23,-2.93,32.92,Kiri
127.11,-0.89,32.76,Kiri
124.43,-1.07,33.1,Kiri
126.05,-0.34,31.24,Kiri
126.47,-1.83,30.99,Kiri
125.01,0.89,31.82,Kiri
124.52,1.37,35.79,Kiri
127.54,-0.21,33.89,Kiri
126.84,-0.31,31.91,Kiri
126.5,2.05,33.59,Kiri
126.08,-0.12,34.53,Kiri
125.5,-0.76,34.78,Kiri
128.73,1.13,31.69,Kiri
126.23,-0.31,33.37,Kiri
124.31,2.11,32.03,Kiri
124.89,2.66,34.08,Kiri
124.4,1.4,35.73,Kiri
127.08,-1.01,33.28,Kiri
126.63,-0.82,31.91,Kiri
127.73,0.98,30.75,Kiri
127.63,1.19,30.81,Kiri
126.87,-1.92,30.93,Kiri
127.33,-0.31,30.6,Kiri
126.38,-0.18,31.69,Kiri
128.03,-0.49,28.06,Kiri
127.51,0.85,30.02,Kiri
126.87,0.34,30.87,Kiri
127.88,-1.59,25.56,Kiri
129.1,-0.64,27.15,Kiri
128.06,-3.02,24.15,Kiri
129.25,-5.4,24.24,Kiri
127.69,-2.81,25.56,Kiri
129.1,-2.99,24.03,Kiri
127.15,-1.07,25.74,Kiri
127.97,-3.6,25.1,Kiri
128.76,-1.53,23.15,Kiri
126.38,-3.36,26.87,Kiri
126.81,-0.61,26.72,Kiri
127.24,-0.52,28.34,Kiri
127.51,-1.01,26.23,Kiri
128.98,-1.28,26.23,Kiri
127.79,0.09,23.91,Kiri
128.34,-0.79,24.7,Kiri
128.34,-0.89,25.04,Kiri
127.05,-1.04,26.08,Kiri
128.58,-1.22,25.53,Kiri
128.4,-0.55,25.28,Kiri
128.76,-0.95,24.43,Kiri
128.15,0.27,24.67,Kiri
129.22,-1.13,24.27,Kiri
128.34,-0.49,24.49,Kiri
128.52,-0.76,25.65,Kiri
128,-0.79,25.1,Kiri
127.45,0.24,23.97,Kiri
128,-1.28,24.52,Kiri
127.6,-0.37,24.98,Kiri
128,0.15,25.71,Kiri
127.94,0.79,24.76,Kiri
127.97,1.25,24.58,Kiri
128.15,-0.82,24.49,Kiri
127.48,-0.73,25.04,Kiri
-117.53,7.69,-9.13,Kanan
-118.63,8.85,-6.87,Kanan
-118.87,6.96,-8.76,Kanan
-118.14,6.53,-7.66,Kanan
-118.14,9.16,-6.44,Kanan
-117.44,7.36,-9.22,Kanan
-119.36,8.7,-7.79,Kanan
-117.83,8.55,-8.12,Kanan
-117.47,4.58,-7.79,Kanan
-119.36,11.18,-8.12,Kanan
