Gx+D29A1:D482,Gy,Gz,Label,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,
"-14,32","-7,05","129,16",atas,,,,,,,,,,,,,,,,,9.8,-121.37,5.31,depan,,22.35,118.69,16.31,belakang
"-13,25","-6,93","129,34",atas,,,,,,,,,,,,,,,,,9.71,-132.06,1.83,depan,,24.98,120.37,16.03,belakang
"-13,44","-6,23","128,58",atas,,,,,,,,,,,,,,,,,9.53,-128,-5.19,depan,,23.88,124.15,19.11,belakang
"-12,95","-6,84","130,32",atas,,,,,,,,,,,,,,,,,10.69,-119.97,8.31,depan,,25.47,119.69,18.75,belakang
"-13,80","-7,21","128,92",atas,,,,,,,,,,,,,,,,,11.82,-135.08,-4.43,depan,,27.36,119.36,18.87,belakang
"-14,02","-6,81","130,26",atas,,,,,,,,,,,,,,,,,12.58,-126.41,-0.43,depan,,23.69,124.03,19.54,belakang
"-12,82","-8,49","130,26",atas,,,,,,,,,,,,,,,,,17.71,-122.69,4.43,depan,,24.18,119.11,18.87,belakang
"-12,61","-6,63","128,92",atas,,,,,,,,,,,,,,,,,16.18,-130.29,-10.69,depan,,19.85,122.5,17.47,belakang
"-13,47","-6,96","128,58",atas,,,,,,,,,,,,,,,,,18.08,-131.15,-11.15,depan,,8.49,117.16,29.74,belakang
"-12,34","-5,92","130,02",atas,,,,,,,,,,,,,,,,,14.69,-119.88,7.08,depan,,9.07,117.77,16.31,belakang
"-9,89","-10,17","129,71",atas,,,,,,,,,,,,,,,,,16.43,-125.04,-3.94,depan,,5.53,120.46,16.98,belakang
"-10,66","-10,26","128,76",atas,,,,,,,,,,,,,,,,,19.45,-135.94,-14.08,depan,,6.05,126.38,11.02,belakang
"-10,32","-11,73","127,27",atas,,,,,,,,,,,,,,,,,14.38,-119.63,6.84,depan,,7.69,119.24,10.38,belakang
"-10,47","-9,98","129,28",atas,,,,,,,,,,,,,,,,,18.05,-121.16,-5.37,depan,,7.69,120.95,8.76,belakang
"-9,98","-9,80","129,13",atas,,,,,,,,,,,,,,,,,26.96,-145.01,-11.15,depan,,4.89,123.73,9.1,belakang
"-9,77","-9,50","129,31",atas,,,,,,,,,,,,,,,,,15.02,-125.1,-1.98,depan,,6.23,121.37,7.51,belakang
"-9,62","-10,23","130,35",atas,,,,,,,,,,,,,,,,,12.31,-117.53,6.38,depan,,8.52,119.6,5.95,belakang
"-9,31","-10,50","129,62",atas,,,,,,,,,,,,,,,,,18.35,-133.53,0.49,depan,,6.75,124.67,7.91,belakang
"-11,45","-9,01","130,56",atas,,,,,,,,,,,,,,,,,14.6,-127.88,-2.5,depan,,8.82,121.25,8.67,belakang
"-9,86","-9,44","129,86",atas,,,,,,,,,,,,,,,,,12.12,-118.99,11.42,depan,,10.38,120.52,9.77,belakang
"-10,53","-10,14","129,83",atas,,,,,,,,,,,,,,,,,17.16,-136.43,-1.25,depan,,8.98,124.98,9.95,belakang
"-9,01","-9,50","129,47",atas,,,,,,,,,,,,,,,,,11.51,-128.12,-5.62,depan,,12.34,121.1,8.55,belakang
"-9,53","-9,53","129,47",atas,,,,,,,,,,,,,,,,,13.04,-120.92,17.07,depan,,12.18,120.43,10.29,belakang
"-9,68","-9,92","128,82",atas,,,,,,,,,,,,,,,,,15.91,-135.15,0.89,depan,,10.72,126.6,12.64,belakang
"-11,45","-9,07","129,77",atas,,,,,,,,,,,,,,,,,13.86,-131.79,-4.79,depan,,13.44,120.43,10.6,belakang
"-11,88","-9,16","129,80",atas,,,,,,,,,,,,,,,,,11.45,-119.05,11.15,depan,,11.85,118.87,9.16,belakang
"-9,19","-10,05","127,54",atas,,,,,,,,,,,,,,,,,14.47,-125.71,3.94,depan,,10.99,125.04,8.27,belakang
